Episode,Reward,Epsilon,Avg Reward
0,-0.5670000000000001,0.9964089999999853,[-0.5670000000000001]
1,1.801000000000022,0.9930159999999715,[0.6170000000000109]
2,-0.6990000000000002,0.9902259999999601,[0.17833333333334053]
3,0.8010000000000219,0.985554999999941,[0.33400000000001084]
4,0.8010000000000219,0.9815229999999245,[0.42740000000001305]
5,-0.6990000000000002,0.9785979999999126,[0.2396666666666775]
6,-0.6990000000000002,0.9755379999999001,[0.10557142857143784]
7,-0.6990000000000002,0.9721179999998861,[0.005000000000008109]
8,-0.6990000000000002,0.9685539999998716,[-0.07322222222221503]
9,-0.6990000000000002,0.9648549999998565,[-0.13579999999999354]
10,-0.6990000000000002,0.9593109999998338,[-0.18699999999999414]
11,-0.6990000000000002,0.9558279999998196,[-0.22966666666666133]
12,-0.6990000000000002,0.9529479999998078,[-0.2657692307692259]
13,-0.6990000000000002,0.9497169999997946,[-0.29671428571428116]
14,-0.6990000000000002,0.9471519999997842,[-0.32353333333332907]
15,-0.6990000000000002,0.9432909999997684,[-0.34699999999999603]
16,-0.6990000000000002,0.9401769999997557,[-0.36770588235293744]
17,-0.6990000000000002,0.937071999999743,[-0.3861111111111076]
18,-0.6990000000000002,0.932409999999724,[-0.4025789473684177]
19,1.7010000000000218,0.9276759999997046,[-0.2973999999999957]
20,-0.6990000000000002,0.9245349999996918,[-0.31652380952380543]
21,-0.6990000000000002,0.9202329999996742,[-0.333909090909087]
22,-0.6990000000000002,0.9173079999996623,[-0.3497826086956485]
23,-0.6990000000000002,0.9148239999996521,[-0.3643333333333298]
24,-0.6990000000000002,0.911124999999637,[-0.37771999999999656]
25,0.8010000000000219,0.9076239999996227,[-0.3323846153846113]
26,-0.6990000000000002,0.9048429999996114,[-0.345962962962959]
27,-0.6990000000000002,0.9016929999995985,[-0.3585714285714247]
28,-0.6990000000000002,0.8990919999995879,[-0.3703103448275825]
29,-0.6990000000000002,0.8963649999995768,[-0.3812666666666631]
30,-0.6990000000000002,0.8925309999995611,[-0.3915161290322546]
31,-0.6990000000000002,0.8896059999995491,[-0.40112499999999673]
32,-0.6990000000000002,0.8865729999995368,[-0.410151515151512]
33,-0.6990000000000002,0.8836659999995249,[-0.4186470588235263]
34,-0.6990000000000002,0.8807859999995131,[-0.42665714285713985]
35,-0.6990000000000002,0.8759349999994933,[-0.4342222222222193]
36,2.2830000000000017,0.8666289999994553,[-0.3607837837837809]
37,-0.6990000000000002,0.863856999999444,[-0.369684210526313]
38,1.8010000000000206,0.8600229999994283,[-0.31402564102563774]
39,-0.6990000000000002,0.8566119999994144,[-0.32364999999999683]
40,-0.6990000000000002,0.8538039999994029,[-0.3328048780487774]
41,2.279000000000002,0.8465949999993735,[-0.27061904761904454]
42,0.8010000000000219,0.8425989999993572,[-0.24569767441860116]
43,-0.6990000000000002,0.8389449999993422,[-0.2559999999999966]
44,2.7020000000000217,0.8341929999993228,[-0.19026666666666286]
45,-0.6990000000000002,0.830817999999309,[-0.20132608695651802]
46,-0.6990000000000002,0.8267859999992926,[-0.21191489361701762]
47,-0.6990000000000002,0.8240049999992812,[-0.22206249999999642]
48,-0.6990000000000002,0.8201349999992654,[-0.23179591836734342]
49,-0.6990000000000002,0.8161389999992491,[-0.24113999999999655]
50,-0.6990000000000002,0.8120439999992324,[-0.25011764705882017]
51,0.8010000000000219,0.8064729999992096,[-0.22990384615384243]
52,-0.6990000000000002,0.8034849999991974,[-0.23875471698112843]
53,-0.6990000000000002,0.8009019999991869,[-0.24727777777777418]
54,-0.6990000000000002,0.7975359999991731,[-0.25549090909090555]
55,2.701000000000022,0.7928109999991538,[-0.20269642857142478]
56,-0.6990000000000002,0.790146999999143,[-0.2114035087719261]
57,-0.6990000000000002,0.7847379999991209,[-0.21981034482758255]
58,-0.6990000000000002,0.781596999999108,[-0.2279322033898269]
59,-0.6990000000000002,0.7782309999990943,[-0.2357833333333298]
60,-0.6990000000000002,0.775233999999082,[-0.24337704918032438]
61,-0.6990000000000002,0.7710129999990648,[-0.25072580645160947]
62,-0.6990000000000002,0.7672869999990496,[-0.25784126984126643]
63,-0.6990000000000002,0.7645059999990382,[-0.26473437499999664]
64,-0.6990000000000002,0.7592409999990167,[-0.27141538461538134]
65,-0.6990000000000002,0.7557489999990025,[-0.2778939393939362]
66,-0.6990000000000002,0.7517619999989862,[-0.2841791044776088]
67,-0.6990000000000002,0.7476489999989694,[-0.2902794117647028]
68,-0.6990000000000002,0.7445169999989566,[-0.2962028985507216]
69,-0.6990000000000002,0.7414659999989441,[-0.3019571428571399]
70,-0.19900000000000018,0.7363089999989231,[-0.30050704225351826]
71,-0.6990000000000002,0.7330329999989097,[-0.30604166666666377]
72,-0.6990000000000002,0.7295859999988956,[-0.31142465753424375]
73,-0.19900000000000018,0.7261749999988817,[-0.3099054054054026]
74,-0.6990000000000002,0.7231149999988692,[-0.3150933333333306]
75,-0.6990000000000002,0.718911999998852,[-0.3201447368421026]
76,-0.6990000000000002,0.7148799999988356,[-0.32506493506493245]
77,-0.6990000000000002,0.7114689999988216,[-0.3298589743589718]
78,-0.6990000000000002,0.7078689999988069,[-0.33453164556961773]
79,0.8010000000000219,0.70372899999879,[-0.3203374999999971]
80,-0.6990000000000002,0.7001469999987754,[-0.3250123456790095]
81,-0.6990000000000002,0.696627999998761,[-0.3295731707317045]
82,-0.6990000000000002,0.6933519999987476,[-0.3340240963855394]
83,-0.6990000000000002,0.690255999998735,[-0.33836904761904496]
84,0.8010000000000219,0.6859899999987176,[-0.32496470588235]
85,-0.6990000000000002,0.6833709999987069,[-0.3293139534883692]
86,-0.6990000000000002,0.680220999998694,[-0.3335632183908018]
87,0.8010000000000219,0.6757659999986758,[-0.3206704545454514]
88,-0.6990000000000002,0.671166999998657,[-0.3249213483146037]
89,-0.6990000000000002,0.6662079999986368,[-0.32907777777777475]
90,-0.6990000000000002,0.6637419999986267,[-0.3331428571428542]
91,-0.6990000000000002,0.6609969999986155,[-0.3371195652173884]
