Episode,Reward,Epsilon,Avg Reward
0,-0.6990000000000002,0.9949509999999794,[-0.6990000000000002]
1,-1.102,0.9879849999999509,[-0.9005000000000001]
2,0.5010000000000219,0.984807999999938,[-0.4333333333333261]
3,1.7010000000000223,0.9807849999999215,[0.100250000000011]
4,1.501000000000022,0.977220999999907,[0.3804000000000132]
5,1.7010000000000218,0.9741879999998946,[0.6005000000000146]
6,-0.6990000000000002,0.9706689999998802,[0.41485714285715536]
7,-0.6990000000000002,0.9669879999998652,[0.275625000000011]
8,-0.6990000000000002,0.9639819999998529,[0.16733333333334308]
9,-0.6990000000000002,0.9615249999998429,[0.08070000000000875]
10,-0.6990000000000002,0.9588879999998321,[0.00981818181818976]
11,-0.6990000000000002,0.9562419999998213,[-0.04924999999999274]
12,-0.6990000000000002,0.953712999999811,[-0.09923076923076254]
13,-0.6990000000000002,0.9508059999997991,[-0.14207142857142238]
14,-0.6990000000000002,0.9479529999997874,[-0.17919999999999423]
15,-0.6990000000000002,0.9448929999997749,[-0.21168749999999464]
16,0.5010000000000219,0.937809999999746,[-0.16976470588234663]
17,0.46200000000000396,0.9295299999997122,[-0.13466666666666047]
18,0.5010000000000219,0.9268659999997013,[-0.10121052631578245]
19,-0.6990000000000002,0.9233109999996868,[-0.13109999999999333]
20,-0.6990000000000002,0.9197289999996722,[-0.1581428571428508]
21,0.7010000000000218,0.916506999999659,[-0.11909090909090204]
22,-0.6990000000000002,0.9125379999996428,[-0.14430434782608023]
23,0.5010000000000219,0.9081639999996249,[-0.1174166666666593]
24,-0.6990000000000002,0.9051489999996126,[-0.14067999999999295]
25,-0.6990000000000002,0.9010179999995958,[-0.16215384615383938]
26,-0.6990000000000002,0.8980119999995835,[-0.1820370370370305]
27,0.7010000000000218,0.8954829999995731,[-0.15049999999999292]
28,0.5010000000000219,0.8922429999995599,[-0.1280344827586131]
29,-0.6990000000000002,0.8894349999995484,[-0.14706666666665932]
30,0.5010000000000219,0.8861589999995351,[-0.12616129032257284]
31,0.3009999999999998,0.8830989999995226,[-0.11281249999999245]
32,0.7010000000000218,0.8769249999994974,[-0.08815151515150717]
33,-0.49900000000000017,0.873171999999482,[-0.10023529411763932]
34,-0.6990000000000002,0.8696439999994676,[-0.11734285714284962]
35,-0.6990000000000002,0.866052999999453,[-0.13349999999999268]
36,-0.6990000000000002,0.8636769999994433,[-0.14878378378377666]
37,-0.6990000000000002,0.8609949999994323,[-0.1632631578947299]
38,0.5010000000000219,0.8561619999994126,[-0.1462307692307619]
39,-0.49900000000000017,0.8529129999993993,[-0.1550499999999929]
40,-0.6990000000000002,0.8499339999993871,[-0.16831707317072478]
41,-0.6990000000000002,0.8454519999993688,[-0.18095238095237418]
42,-0.6990000000000002,0.8427789999993579,[-0.19299999999999337]
43,0.901000000000022,0.8373249999993356,[-0.16813636363635667]
44,0.7010000000000218,0.8334729999993199,[-0.14882222222221492]
45,-0.6990000000000002,0.8306199999993082,[-0.16078260869564504]
46,-0.6990000000000002,0.8274159999992952,[-0.1722340425531845]
47,-0.6990000000000002,0.8242389999992822,[-0.18320833333332653]
48,-0.6990000000000002,0.82125999999927,[-0.19373469387754436]
49,-0.6990000000000002,0.8179569999992565,[-0.20383999999999347]
50,-0.6990000000000002,0.8156619999992472,[-0.21354901960783673]
51,-0.6990000000000002,0.8128629999992357,[-0.2228846153846091]
52,-0.6990000000000002,0.80900199999922,[-0.23186792452829572]
53,-0.6990000000000002,0.8057529999992067,[-0.24051851851851247]
54,-0.6990000000000002,0.8031789999991962,[-0.2488545454545395]
55,-0.6990000000000002,0.800199999999184,[-0.25689285714285137]
56,-0.6990000000000002,0.7973829999991725,[-0.26464912280701186]
57,-0.6990000000000002,0.7942149999991596,[-0.27213793103447714]
58,-0.6990000000000002,0.7904979999991444,[-0.27937288135592675]
59,-0.6990000000000002,0.7832169999991146,[-0.28636666666666133]
60,-0.6990000000000002,0.7802559999991026,[-0.29313114754097835]
61,0.5010000000000219,0.7767639999990883,[-0.28032258064515575]
62,-0.49900000000000017,0.7744329999990788,[-0.2837936507936453]
63,-0.6990000000000002,0.7706709999990634,[-0.2902812499999946]
64,-0.6990000000000002,0.7668729999990479,[-0.2965692307692255]
65,-0.6990000000000002,0.7642899999990374,[-0.3026666666666615]
66,-0.6990000000000002,0.7605999999990223,[-0.3085820895522337]
67,0.5010000000000219,0.7547769999989985,[-0.29667647058822993]
68,0.5010000000000219,0.749016999998975,[-0.28511594202897994]
69,-0.6990000000000002,0.7459569999989625,[-0.2910285714285659]
70,-0.6990000000000002,0.7414569999989441,[-0.29677464788731855]
71,-0.6990000000000002,0.7374519999989277,[-0.30236111111110575]
72,-0.6990000000000002,0.7334829999989115,[-0.30779452054793993]
73,-0.6990000000000002,0.7290189999988933,[-0.3130810810810759]
74,-0.6990000000000002,0.7223049999988659,[-0.31822666666666155]
75,-0.6990000000000002,0.7183449999988497,[-0.32323684210525816]
76,-0.6990000000000002,0.7141149999988324,[-0.3281168831168782]
77,0.5010000000000219,0.7094799999988135,[-0.3174871794871743]
78,-0.6990000000000002,0.7054569999987971,[-0.32231645569619743]
79,-0.6990000000000002,0.6991929999987715,[-0.3270249999999949]
80,-0.6990000000000002,0.6937119999987491,[-0.3316172839506123]
81,-0.6990000000000002,0.6863679999987191,[-0.33609756097560484]
82,-0.6990000000000002,0.6828399999987047,[-0.34046987951806745]
83,-0.6990000000000002,0.6800319999986932,[-0.34473809523809046]
84,-0.6990000000000002,0.669942999998652,[-0.3489058823529365]
85,-0.49900000000000017,0.6651189999986323,[-0.350651162790693]
86,-0.6990000000000002,0.6605199999986135,[-0.3546551724137885]
87,0.3009999999999998,0.6566679999985978,[-0.34720454545454077]
88,-0.6990000000000002,0.6501339999985711,[-0.35115730337078194]
89,-0.6990000000000002,0.6448419999985495,[-0.3550222222222177]
90,-0.6990000000000002,0.6412689999985349,[-0.3588021978021933]
91,-0.6990000000000002,0.6330159999985012,[-0.36249999999999555]
92,-0.6990000000000002,0.6286509999984834,[-0.366118279569888]
93,-0.6990000000000002,0.6239889999984644,[-0.3696595744680807]
94,-0.6990000000000002,0.6198759999984476,[-0.3731263157894693]
95,-0.6990000000000002,0.6141609999984242,[-0.37652083333332903]
96,-0.6990000000000002,0.6100659999984075,[-0.379845360824738]
97,-0.6990000000000002,0.602352999998376,[-0.3831020408163223]
98,-0.6990000000000002,0.5970609999983544,[-0.3862929292929251]
99,-0.6990000000000002,0.5902749999983267,[-0.3894199999999958]
100,-0.6990000000000002,0.5812209999982897,[-0.39248514851484734]
101,-0.6990000000000002,0.5774139999982741,[-0.39248514851484734]
102,-0.6990000000000002,0.5655789999982258,[-0.3884950495049464]
103,-0.6990000000000002,0.5611779999982078,[-0.40037623762375846]
104,-0.6990000000000002,0.552654999998173,[-0.4241386138613824]
105,-0.6990000000000002,0.5458419999981452,[-0.4459207920792044]
106,-0.6990000000000002,0.540414999998123,[-0.4696831683168285]
107,-0.6990000000000002,0.5259789999980641,[-0.4696831683168284]
108,-0.6990000000000002,0.5183199999980328,[-0.4696831683168285]
109,-0.6990000000000002,0.5098149999979981,[-0.4696831683168284]
110,-0.6990000000000002,0.4980429999979621,[-0.4696831683168285]
111,-0.6990000000000002,0.49286799999797287,[-0.4696831683168284]
112,-0.6990000000000002,0.4876659999979837,[-0.4696831683168285]
113,-0.6990000000000002,0.48045699999799873,[-0.4696831683168284]
114,-0.6990000000000002,0.47349999999801323,[-0.4696831683168285]
115,-0.6990000000000002,0.467370999998026,[-0.4696831683168284]
116,-0.6990000000000002,0.4562289999980492,[-0.4696831683168285]
117,-0.6990000000000002,0.4511439999980598,[-0.4815643564356405]
118,-0.6990000000000002,0.4463469999980698,[-0.49305940594059106]
119,-0.6990000000000002,0.4416939999980795,[-0.5049405940594031]
120,-0.6990000000000002,0.4370949999980891,[-0.5049405940594032]
121,-0.6990000000000002,0.43251399999809864,[-0.5049405940594031]
122,-0.49900000000000017,0.42775299999810856,[-0.5168217821782153]
123,-0.6990000000000002,0.4221279999981203,[-0.5168217821782153]
124,-0.6990000000000002,0.41700699999813096,[-0.5287029702970274]
125,-0.6990000000000002,0.41058999999814433,[-0.5287029702970274]
126,-0.6990000000000002,0.4057479999981544,[-0.5287029702970274]
127,-0.6990000000000002,0.4030209999981601,[-0.5287029702970273]
128,-0.6990000000000002,0.39780999999817096,[-0.5425643564356414]
129,0.702000000000021,0.3906369999981859,[-0.5405742574257405]
130,-0.49900000000000017,0.3876759999981921,[-0.5385940594059385]
131,1.7010000000000223,0.3846429999981984,[-0.5267128712871266]
132,-0.6990000000000002,0.37899999999821016,[-0.5366138613861365]
133,-0.6990000000000002,0.37449999999821953,[-0.5504752475247506]
134,-0.6990000000000002,0.37008099999822874,[-0.5524554455445526]
135,0.5010000000000219,0.36552699999823823,[-0.5405742574257405]
136,-0.6990000000000002,0.3606399999982484,[-0.5405742574257405]
137,-0.6990000000000002,0.357948999998254,[-0.5405742574257405]
138,-0.6990000000000002,0.3546459999982609,[-0.5405742574257405]
139,-0.6990000000000002,0.34815699999827443,[-0.5524554455445525]
140,-0.6990000000000002,0.3407409999982899,[-0.5544356435643545]
141,-0.6990000000000002,0.3369519999982978,[-0.5544356435643545]
142,-0.6990000000000002,0.3328029999983064,[-0.5544356435643545]
143,-0.49900000000000017,0.32880699999831475,[-0.5524554455445525]
144,-0.6990000000000002,0.3248919999983229,[-0.5682970297029687]
145,-0.6990000000000002,0.320535999998332,[-0.5821584158415827]
146,-0.6990000000000002,0.3165579999983403,[-0.5821584158415827]
147,-0.6990000000000002,0.3088179999983564,[-0.5821584158415827]
148,-0.6990000000000002,0.30212199999837036,[-0.5821584158415827]
149,-0.6990000000000002,0.2942829999983867,[-0.5821584158415827]
150,2.501000000000022,0.2915919999983923,[-0.5504752475247507]
151,-0.6990000000000002,0.28537299999840526,[-0.5504752475247507]
152,0.5010000000000183,0.2781459999984203,[-0.5385940594059387]
153,-0.6990000000000002,0.27371799999842955,[-0.5385940594059387]
154,-0.6990000000000002,0.2611179999984558,[-0.5385940594059387]
155,-0.6990000000000002,0.25433199999846995,[-0.5385940594059387]
156,-0.6990000000000002,0.24931899999847829,[-0.5385940594059387]
157,-0.6990000000000002,0.24366699999847263,[-0.5385940594059386]
158,-0.6990000000000002,0.2343429999984633,[-0.5385940594059386]
159,0.5010000000000219,0.22845699999845742,[-0.5267128712871266]
160,-0.6990000000000002,0.2213289999984503,[-0.5267128712871266]
161,-0.29900000000000015,0.20979999999843876,[-0.5227524752475227]
162,-0.4190000000000001,0.19180899999842077,[-0.531861386138612]
163,-0.6990000000000002,0.18530199999841426,[-0.533841584158414]
164,-0.29900000000000015,0.17876799999840773,[-0.52988118811881]
165,-0.49900000000000017,0.17265699999840162,[-0.5279009900990079]
166,-0.6990000000000002,0.1677429999983967,[-0.527900990099008]
167,-0.05699999999998284,0.15958899999838855,[-0.5215445544554436]
168,-0.6990000000000002,0.15567399999838463,[-0.5334257425742556]
169,-0.6990000000000002,0.1522539999983812,[-0.5453069306930676]
170,-0.6990000000000002,0.14792499999837688,[-0.5453069306930676]
171,-0.49900000000000017,0.14366799999837263,[-0.5433267326732657]
172,-0.6990000000000002,0.13876299999836772,[-0.5433267326732657]
173,0.3009999999999998,0.13349799999836245,[-0.5334257425742558]
174,-0.6990000000000002,0.1295469999983585,[-0.5334257425742558]
175,-0.5,0.11155599999836124,[-0.5314554455445528]
176,-0.6990000000000002,0.10404099999836532,[-0.5314554455445528]
177,0.4460000000000053,0.1,[-0.5201188118811865]
178,-0.6990000000000002,0.1,[-0.5319999999999985]
179,-0.6990000000000002,0.1,[-0.5319999999999986]
180,-0.5,0.1,[-0.5300297029702956]
181,-0.6990000000000002,0.1,[-0.5300297029702956]
182,-0.6990000000000002,0.1,[-0.5300297029702956]
183,-0.6990000000000002,0.1,[-0.5300297029702956]
184,0.027000000000007907,0.1,[-0.5228415841584143]
185,-0.6990000000000002,0.1,[-0.5228415841584143]
186,-0.6990000000000002,0.1,[-0.5248217821782163]
187,-0.5,0.1,[-0.5228514851485133]
188,-0.6990000000000002,0.1,[-0.5327524752475232]
189,-0.022999999999986587,0.1,[-0.5260594059405924]
190,-0.5,0.1,[-0.5240891089108894]
191,-0.6990000000000002,0.1,[-0.5240891089108894]
192,-0.6720000000000002,0.1,[-0.5238217821782161]
193,-0.6990000000000002,0.1,[-0.5238217821782161]
194,-0.6990000000000002,0.1,[-0.5238217821782162]
195,-0.6990000000000002,0.1,[-0.5238217821782161]
196,-0.6990000000000002,0.1,[-0.5238217821782161]
197,-0.6990000000000002,0.1,[-0.5238217821782161]
198,0.027000000000007907,0.1,[-0.5166336633663349]
199,-0.6990000000000002,0.1,[-0.5166336633663349]
200,-0.544,0.1,[-0.5150990099009882]
201,-0.5,0.1,[-0.5131287128712853]
202,0.5010000000000219,0.1,[-0.5012475247524733]
203,0.5010000000000219,0.1,[-0.48936633663366125]
204,-0.6990000000000002,0.1,[-0.48936633663366125]
205,-0.49900000000000017,0.1,[-0.4873861386138593]
206,-0.6990000000000002,0.1,[-0.4873861386138593]
207,-0.6990000000000002,0.1,[-0.4873861386138593]
208,1.0570000000000048,0.1,[-0.4699999999999978]
209,0.013000000000009448,0.1,[-0.46295049504950264]
210,-0.49900000000000017,0.1,[-0.4609702970297007]
211,-0.6990000000000002,0.1,[-0.46097029702970077]
212,-0.6990000000000002,0.1,[-0.4609702970297007]
213,-0.6990000000000002,0.1,[-0.46097029702970066]
214,0.8999999999999999,0.1,[-0.4451386138613839]
215,-0.6990000000000002,0.1,[-0.44513861386138387]
216,-0.6990000000000002,0.1,[-0.44513861386138387]
217,-0.6990000000000002,0.1,[-0.44513861386138387]
218,-0.516,0.1,[-0.44332673267326506]
219,-0.6990000000000002,0.1,[-0.44332673267326494]
220,-0.49900000000000017,0.1,[-0.441346534653463]
221,-0.504,0.1,[-0.4394158415841561]
222,0.5020000000000218,0.1,[-0.42752475247524496]
223,-0.6990000000000002,0.1,[-0.429504950495047]
224,-0.509,0.1,[-0.4276237623762351]
225,-0.6990000000000002,0.1,[-0.4276237623762351]
226,-0.6990000000000002,0.1,[-0.42762376237623506]
227,-0.6990000000000002,0.1,[-0.42762376237623506]
228,-0.6990000000000002,0.1,[-0.42762376237623506]
229,0.5010000000000074,0.1,[-0.41574257425742317]
230,-0.6990000000000002,0.1,[-0.4296138613861363]
231,-0.6990000000000002,0.1,[-0.4315940594059382]
232,0.028000000000007796,0.1,[-0.44815841584158195]
233,-0.6990000000000002,0.1,[-0.44815841584158195]
234,0.009000000000009889,0.1,[-0.4411485148514829]
235,-0.6990000000000002,0.1,[-0.4411485148514828]
236,1.472000000000003,0.1,[-0.4315346534653444]
237,-0.6990000000000002,0.1,[-0.43153465346534436]
238,-0.6990000000000002,0.1,[-0.4315346534653444]
239,-0.6990000000000002,0.1,[-0.43153465346534436]
240,-0.6090000000000001,0.1,[-0.43064356435643353]
241,0.5010000000000219,0.1,[-0.41876237623762147]
242,-0.6990000000000002,0.1,[-0.4187623762376214]
243,-0.49900000000000017,0.1,[-0.41678217821781943]
244,-0.6990000000000002,0.1,[-0.41876237623762147]
245,0.045000000000005924,0.1,[-0.41139603960395793]
246,-0.6990000000000002,0.1,[-0.41139603960395793]
247,-0.6990000000000002,0.1,[-0.4113960396039579]
248,-0.6990000000000002,0.1,[-0.41139603960395793]
249,-0.6990000000000002,0.1,[-0.4113960396039579]
250,0.09899999999999998,0.1,[-0.4034950495049481]
251,-0.6990000000000002,0.1,[-0.43517821782177996]
252,-0.6990000000000002,0.1,[-0.43517821782178]
253,-0.6990000000000002,0.1,[-0.447059405940592]
254,-0.6990000000000002,0.1,[-0.44705940594059207]
255,0.045000000000005924,0.1,[-0.4396930693069286]
256,-0.6990000000000002,0.1,[-0.4396930693069286]
257,-0.6990000000000002,0.1,[-0.4396930693069285]
258,1.501000000000022,0.1,[-0.4179108910891066]
259,2.1160000000000205,0.1,[-0.39003960396039355]
260,-0.6990000000000002,0.1,[-0.40192079207920567]
261,-0.6990000000000002,0.1,[-0.4019207920792056]
262,-0.6990000000000002,0.1,[-0.4058811881188096]
263,-0.6990000000000002,0.1,[-0.40865346534653235]
264,-0.6990000000000002,0.1,[-0.4086534653465323]
265,-0.6990000000000002,0.1,[-0.41261386138613626]
266,-0.6990000000000002,0.1,[-0.41459405940593824]
267,-0.516,0.1,[-0.4127821782178195]
268,-1.195,0.1,[-0.4240495049504929]
269,-0.6990000000000002,0.1,[-0.4240495049504929]
270,0.00400000000001044,0.1,[-0.4170891089108888]
271,2.7060000000000217,0.1,[-0.38337623762375994]
272,-1.157,0.1,[-0.3898910891089086]
273,-0.6990000000000002,0.1,[-0.3898910891089084]
274,-0.49900000000000017,0.1,[-0.3978118811881164]
275,-0.6990000000000002,0.1,[-0.3978118811881164]
276,0.00400000000001044,0.1,[-0.3928217821782153]
277,-0.6990000000000002,0.1,[-0.3928217821782153]
278,-1.2870000000000001,0.1,[-0.40998019801979946]
279,-0.6990000000000002,0.1,[-0.40998019801979946]
280,-1.151,0.1,[-0.414455445544552]
281,-0.045999999999984054,0.1,[-0.4099603960396013]
282,-1.185,0.1,[-0.4147722772277202]
283,0.29700000000000015,0.1,[-0.4049108910891064]
284,0.2750000000000026,0.1,[-0.39526732673267073]
285,-0.6990000000000002,0.1,[-0.402455445544552]
286,1.3970000000000113,0.1,[-0.38170297029702704]
287,-1.2960000000000003,0.1,[-0.38761386138613596]
288,-1.1460000000000001,0.1,[-0.39400990099009636]
289,-0.6990000000000002,0.1,[-0.3940099009900963]
290,-1.2730000000000001,0.1,[-0.40638613861385886]
291,-1.2500000000000002,0.1,[-0.4138118811881163]
292,-1.229,0.1,[-0.4190594059405916]
293,-1.1540000000000001,0.1,[-0.4238316831683143]
294,-0.49900000000000017,0.1,[-0.42185148514851245]
295,-0.6990000000000002,0.1,[-0.42185148514851234]
296,-0.6990000000000002,0.1,[-0.42185148514851234]
297,-0.6990000000000002,0.1,[-0.42185148514851234]
298,-1.2380000000000002,0.1,[-0.4271881188118787]
299,0.043000000000006144,0.1,[-0.42702970297029447]
300,-1.102,0.1,[-0.4310198019801954]
301,-0.6990000000000002,0.1,[-0.432554455445542]
302,-1.2040000000000002,0.1,[-0.439524752475245]
303,-1.0860000000000003,0.1,[-0.4552376237623739]
304,-0.6990000000000002,0.1,[-0.467118811881186]
305,-0.6990000000000002,0.1,[-0.467118811881186]
306,1.902000000000022,0.1,[-0.443346534653463]
307,-0.6990000000000002,0.1,[-0.44334653465346296]
308,-0.6990000000000002,0.1,[-0.443346534653463]
309,-0.6990000000000002,0.1,[-0.4607326732673244]
310,0.031000000000007466,0.1,[-0.4605544554455423]
311,-0.6990000000000002,0.1,[-0.4625346534653442]
312,-0.6990000000000002,0.1,[-0.4625346534653443]
313,0.050000000000005373,0.1,[-0.4551188118811858]
314,-0.6990000000000002,0.1,[-0.4551188118811858]
315,0.030000000000007576,0.1,[-0.46373267326732437]
316,-1.245,0.1,[-0.4691386138613838]
317,-0.6990000000000002,0.1,[-0.4691386138613838]
318,-0.6990000000000002,0.1,[-0.4691386138613837]
319,0.045000000000005924,0.1,[-0.46358415841583905]
320,-0.6990000000000002,0.1,[-0.46358415841583905]
321,-1.215,0.1,[-0.4706732673267302]
322,-1.197,0.1,[-0.47753465346534407]
323,-0.6990000000000002,0.1,[-0.48942574257425525]
324,-0.6990000000000002,0.1,[-0.4894257425742552]
325,0.047000000000005704,0.1,[-0.48392079207920574]
326,-1.2810000000000001,0.1,[-0.4896831683168294]
327,-1.0830000000000002,0.1,[-0.4934851485148492]
328,0.3009999999999998,0.1,[-0.4835841584158393]
329,0.06400000000000383,0.1,[-0.47602970297029473]
330,-0.0019999999999888995,0.1,[-0.48100990099009655]
331,0.05900000000000416,0.1,[-0.4735049504950471]
332,-0.6990000000000002,0.1,[-0.47350495049504704]
333,-1.2770000000000001,0.1,[-0.4864257425742551]
334,0.16800000000001436,0.1,[-0.4778415841584134]
335,-1.213,0.1,[-0.48994059405940366]
336,-0.6990000000000002,0.1,[-0.48994059405940354]
337,0.1810000000000127,0.1,[-0.5027227722772253]
338,-1.2620000000000002,0.1,[-0.5082970297029679]
339,-1.233,0.1,[-0.5135841584158392]
340,-1.211,0.1,[-0.5186534653465322]
341,0.5010000000000205,0.1,[-0.5076633663366311]
342,-0.6990000000000002,0.1,[-0.5195445544554431]
343,2.2490000000000054,0.1,[-0.4903564356435619]
344,-1.2970000000000002,0.1,[-0.49825742574257176]
345,-1.1620000000000001,0.1,[-0.5028415841584134]
346,-0.6990000000000002,0.1,[-0.5102079207920768]
347,0.5010000000000219,0.1,[-0.49832673267326466]
348,0.5010000000000034,0.1,[-0.4864455445544527]
349,1.902000000000022,0.1,[-0.46069306930692777]
350,-0.6990000000000002,0.1,[-0.4606930693069278]
351,-1.2690000000000001,0.1,[-0.47423762376237333]
352,-0.6990000000000002,0.1,[-0.4742376237623732]
353,-0.09199999999997899,0.1,[-0.46822772277227404]
354,-0.6990000000000002,0.1,[-0.46822772277227404]
355,0.0050000000000103295,0.1,[-0.461257425742571]
356,-1.2890000000000001,0.1,[-0.4744653465346502]
357,-1.1680000000000001,0.1,[-0.4791089108910859]
358,1.1060000000000212,0.1,[-0.4612376237623729]
359,-1.2440000000000002,0.1,[-0.48841584158415524]
360,-0.6990000000000002,0.1,[-0.5162871287128684]
361,0.23000000000000753,0.1,[-0.5070891089108881]
362,-1.2340000000000002,0.1,[-0.5123861386138584]
363,-1.1900000000000002,0.1,[-0.5172475247524723]
364,-1.199,0.1,[-0.5221980198019772]
365,-0.49900000000000017,0.1,[-0.5202178217821752]
366,-0.008999999999988129,0.1,[-0.5133861386138582]
367,-1.183,0.1,[-0.518178217821779]
368,-0.29900000000000015,0.1,[-0.5160297029702938]
369,-0.15400000000000014,0.1,[-0.5057227722772246]
370,2.391000000000012,0.1,[-0.4751287128712839]
371,-1.2640000000000002,0.1,[-0.48768316831682856]
372,-0.6990000000000002,0.1,[-0.5213960396039574]
373,0.5010000000000219,0.1,[-0.5049801980197989]
374,-1.2760000000000002,0.1,[-0.5106930693069277]
375,-0.6990000000000002,0.1,[-0.5126732673267296]
376,-1.2750000000000001,0.1,[-0.5183762376237592]
377,-0.6990000000000002,0.1,[-0.5253366336633633]
378,-1.179,0.1,[-0.530089108910888]
379,-0.6990000000000002,0.1,[-0.5242673267326702]
380,-0.6990000000000002,0.1,[-0.5242673267326702]
381,-1.2630000000000001,0.1,[-0.5253762376237593]
382,-0.6990000000000002,0.1,[-0.5318415841584129]
383,-0.6990000000000002,0.1,[-0.5270297029702941]
384,-0.6990000000000002,0.1,[-0.5368910891089079]
385,-0.6990000000000002,0.1,[-0.5465346534653436]
386,-0.6990000000000002,0.1,[-0.5465346534653436]
387,0.4480000000000057,0.1,[-0.555930693069304]
388,0.0570000000000046,0.1,[-0.5425346534653437]
389,0.1430000000000171,0.1,[-0.5297722772277197]
390,-1.2850000000000001,0.1,[-0.5355742574257395]
391,0.00100000000001077,0.1,[-0.5229603960396009]
392,-0.49900000000000017,0.1,[-0.5155247524752444]
393,0.29600000000000026,0.1,[-0.5004257425742543]
394,-1.201,0.1,[-0.5008910891089078]
395,-0.6990000000000002,0.1,[-0.5028712871287098]
396,-0.6990000000000002,0.1,[-0.5028712871287098]
397,-1.1800000000000002,0.1,[-0.5076336633663334]
398,-1.191,0.1,[-0.5125049504950464]
399,-1.233,0.1,[-0.5124554455445514]
400,-0.0609999999999824,0.1,[-0.5134851485148483]
401,-1.191,0.1,[-0.5143663366336602]
402,0.0570000000000046,0.1,[-0.5068811881188087]
403,-1.2970000000000002,0.1,[-0.5078019801980165]
404,-1.2700000000000002,0.1,[-0.5096237623762345]
405,-1.1400000000000001,0.1,[-0.5139900990098978]
406,0.501000000000009,0.1,[-0.5021089108910858]
407,0.5010000000000219,0.1,[-0.5159801980197986]
408,-1.2930000000000001,0.1,[-0.5218613861386106]
409,0.013000000000009448,0.1,[-0.5148118811881153]
410,-0.6990000000000002,0.1,[-0.5148118811881153]
411,1.902000000000022,0.1,[-0.4962871287128676]
412,-0.6990000000000002,0.1,[-0.4962871287128676]
413,-1.2790000000000001,0.1,[-0.5020297029702934]
414,0.05100000000000526,0.1,[-0.5020198019801945]
415,1.502000000000022,0.1,[-0.48022772277227344]
416,-1.1940000000000002,0.1,[-0.4923465346534617]
417,-0.6990000000000002,0.1,[-0.4869405940594022]
418,-0.6990000000000002,0.1,[-0.4869405940594022]
419,-0.6990000000000002,0.1,[-0.4869405940594021]
420,-0.6990000000000002,0.1,[-0.4943069306930655]
421,0.7010000000000218,0.1,[-0.48044554455445143]
422,1.901000000000022,0.1,[-0.44959405940593644]
423,-1.1640000000000001,0.1,[-0.4492673267326691]
424,1.0700000000000034,0.1,[-0.4317524752475206]
425,0.033000000000007246,0.1,[-0.4245049504950453]
426,-1.237,0.1,[-0.43721782178217405]
427,-0.6990000000000002,0.1,[-0.4314554455445503]
428,-1.2760000000000002,0.1,[-0.43336633663365925]
429,-1.2880000000000003,0.1,[-0.44909900990098595]
430,-0.6990000000000002,0.1,[-0.45665346534653056]
431,1.1610000000000151,0.1,[-0.4451386138613819]
432,-1.1620000000000001,0.1,[-0.45722772277227314]
433,-1.249,0.1,[-0.4626732673267285]
434,1.2580000000000044,0.1,[-0.4375742574257384]
435,0.07400000000000273,0.1,[-0.43850495049504545]
436,1.5030000000000214,0.1,[-0.41161386138613437]
437,-1.2080000000000002,0.1,[-0.41665346534653036]
438,-1.2680000000000002,0.1,[-0.43099999999999583]
439,-1.1380000000000001,0.1,[-0.4297722772277186]
440,-0.6990000000000002,0.1,[-0.4244851485148473]
441,-1.2640000000000002,0.1,[-0.42500990099009484]
442,0.18200000000001282,0.1,[-0.4281683168316791]
443,-1.1800000000000002,0.1,[-0.43293069306930276]
444,0.039000000000006585,0.1,[-0.4548118811881148]
445,-1.1480000000000001,0.1,[-0.45333663366336224]
446,-1.1600000000000001,0.1,[-0.45331683168316433]
447,0.040000000000006475,0.1,[-0.44599999999999584]
448,-1.2440000000000002,0.1,[-0.4632772277227683]
449,0.026000000000008017,0.1,[-0.46798019801979807]
450,-0.9550000000000001,0.1,[-0.4962673267326695]
451,-0.6990000000000002,0.1,[-0.49626732673266943]
452,-1.2440000000000002,0.1,[-0.4960198019801942]
453,-1.2100000000000002,0.1,[-0.5010792079207883]
454,0.026000000000008017,0.1,[-0.49991089108910525]
455,0.5010000000000219,0.1,[-0.4880297029702932]
456,-0.6990000000000002,0.1,[-0.49499999999999633]
457,0.7010000000000218,0.1,[-0.47529702970296633]
458,1.1570000000000156,0.1,[-0.4522772277227682]
459,-1.2220000000000002,0.1,[-0.4753267326732635]
460,-0.6990000000000002,0.1,[-0.4699306930693029]
461,-0.6990000000000002,0.1,[-0.4699306930693029]
462,0.5010000000000219,0.1,[-0.46724752475247117]
463,-1.2340000000000002,0.1,[-0.4672475247524712]
464,-0.6990000000000002,0.1,[-0.4623861386138573]
465,0.3009999999999998,0.1,[-0.44753465346534244]
466,-1.1760000000000002,0.1,[-0.45423762376237226]
467,-0.6990000000000002,0.1,[-0.4610693069306892]
468,0.5010000000000219,0.1,[-0.44439603960395624]
469,-1.1540000000000001,0.1,[-0.45286138613860977]
470,-0.6990000000000002,0.1,[-0.45825742574257017]
